reltime;datetime;iSensor;ibi

   0.0010;2024/05/28 15:06:36.9369;5;821
   0.0010;2024/05/28 15:06:36.9369;4;0
   0.0010;2024/05/28 15:06:36.9369;3;1043
   0.0010;2024/05/28 15:06:36.9369;2;0
   0.0010;2024/05/28 15:06:36.9369;1;0
   0.0010;2024/05/28 15:06:36.9369;0;0
   0.0840;2024/05/28 15:06:37.0199;5;856
   0.6500;2024/05/28 15:06:37.5859;3;1031
   0.8230;2024/05/28 15:06:37.7589;5;856
   1.0680;2024/05/28 15:06:38.0039;5;869
   1.3140;2024/05/28 15:06:38.2499;5;869
   1.5610;2024/05/28 15:06:38.4969;5;869
   1.8070;2024/05/28 15:06:38.7429;5;869
   1.8810;2024/05/28 15:06:38.8169;3;1038
   2.0540;2024/05/28 15:06:38.9899;5;923
   2.3000;2024/05/28 15:06:39.2359;5;923
   2.5470;2024/05/28 15:06:39.4829;5;923
   2.6200;2024/05/28 15:06:39.5559;3;1002
   2.7930;2024/05/28 15:06:39.7289;5;923
   3.0380;2024/05/28 15:06:39.9739;5;967
   3.3590;2024/05/28 15:06:40.2949;3;1017
   3.7770;2024/05/28 15:06:40.7129;5;967
   4.0240;2024/05/28 15:06:40.9599;5;983
   4.2700;2024/05/28 15:06:41.2059;5;983
   4.3450;2024/05/28 15:06:41.2809;3;863
   4.5160;2024/05/28 15:06:41.4519;5;983
   4.7630;2024/05/28 15:06:41.6989;5;983
   5.0090;2024/05/28 15:06:41.9449;5;983
   5.2550;2024/05/28 15:06:42.1909;5;983
   5.5020;2024/05/28 15:06:42.4379;5;983
   5.5760;2024/05/28 15:06:42.5119;3;815
   5.7480;2024/05/28 15:06:42.6839;5;983
   5.9940;2024/05/28 15:06:42.9299;5;1000
   6.2410;2024/05/28 15:06:43.1769;5;1000
   6.3140;2024/05/28 15:06:43.2499;3;957
   6.4870;2024/05/28 15:06:43.4229;5;1000
   6.7320;2024/05/28 15:06:43.6679;5;1000
   7.4750;2024/05/28 15:06:44.4109;5;1000
   7.5460;2024/05/28 15:06:44.4819;3;1107
   7.7180;2024/05/28 15:06:44.6539;5;1000
   7.9640;2024/05/28 15:06:44.8999;5;1000
   8.2100;2024/05/28 15:06:45.1459;5;1000
   8.4570;2024/05/28 15:06:45.3929;5;1000
   8.7030;2024/05/28 15:06:45.6389;5;1000
   8.7770;2024/05/28 15:06:45.7129;3;925
   8.9490;2024/05/28 15:06:45.8849;5;1000
   9.1960;2024/05/28 15:06:46.1319;5;1000
   9.4420;2024/05/28 15:06:46.3779;5;1000
   9.6880;2024/05/28 15:06:46.6239;5;1000
   9.7620;2024/05/28 15:06:46.6979;3;1077
  10.4260;2024/05/28 15:06:47.3619;5;1000
  10.7480;2024/05/28 15:06:47.6839;3;1115
  11.6580;2024/05/28 15:06:48.5939;5;999
  11.7330;2024/05/28 15:06:48.6689;3;1080
  11.9040;2024/05/28 15:06:48.8399;5;1000
  12.1510;2024/05/28 15:06:49.0869;5;983
  12.3970;2024/05/28 15:06:49.3329;5;983
  12.9640;2024/05/28 15:06:49.8999;3;1069
  13.1360;2024/05/28 15:06:50.0719;5;983
  13.3830;2024/05/28 15:06:50.3189;5;983
  13.6290;2024/05/28 15:06:50.5649;5;983
  13.8750;2024/05/28 15:06:50.8109;5;983
  13.9490;2024/05/28 15:06:50.8849;3;1066
  14.1220;2024/05/28 15:06:51.0579;5;983
