reltime,datetime,iSensor,ibi
0.001,2024/06/07 12:37:21.1459,5,938
0.001,2024/06/07 12:37:21.1459,4,0
0.001,2024/06/07 12:37:21.1459,3,774
0.001,2024/06/07 12:37:21.1459,2,0
0.001,2024/06/07 12:37:21.1459,1,0
0.001,2024/06/07 12:37:21.1459,0,0
0.089,2024/06/07 12:37:21.2339,5,938
0.335,2024/06/07 12:37:21.4799,5,938
0.581,2024/06/07 12:37:21.7259,5,938
0.647,2024/06/07 12:37:21.7919,3,812
0.828,2024/06/07 12:37:21.9729,5,938
1.074,2024/06/07 12:37:22.2189,5,938
1.386,2024/06/07 12:37:22.5309,3,816
1.813,2024/06/07 12:37:22.9579,5,923
2.06,2024/06/07 12:37:23.2049,5,923
2.305,2024/06/07 12:37:23.4499,5,938
2.371,2024/06/07 12:37:23.5159,3,815
3.045,2024/06/07 12:37:24.1899,5,938
3.11,2024/06/07 12:37:24.2549,3,818
3.29,2024/06/07 12:37:24.4349,5,938
3.537,2024/06/07 12:37:24.6819,5,938
3.783,2024/06/07 12:37:24.9279,5,938
3.849,2024/06/07 12:37:24.9939,3,819
4.03,2024/06/07 12:37:25.1749,5,938
4.275,2024/06/07 12:37:25.4199,5,938
4.522,2024/06/07 12:37:25.6669,5,938
4.768,2024/06/07 12:37:25.9129,5,938
5.014,2024/06/07 12:37:26.1589,5,938
5.08,2024/06/07 12:37:26.2249,3,819
5.26,2024/06/07 12:37:26.4049,5,938
5.572,2024/06/07 12:37:26.7169,3,835
5.999,2024/06/07 12:37:27.1439,5,938
6.065,2024/06/07 12:37:27.2099,3,796
6.246,2024/06/07 12:37:27.3909,5,923
6.492,2024/06/07 12:37:27.6369,5,923
6.738,2024/06/07 12:37:27.8829,5,923
6.804,2024/06/07 12:37:27.9489,3,693
7.477,2024/06/07 12:37:28.6219,5,937
7.723,2024/06/07 12:37:28.8679,5,938
7.789,2024/06/07 12:37:28.9339,3,649
7.97,2024/06/07 12:37:29.1149,5,938
8.216,2024/06/07 12:37:29.3609,5,938
8.462,2024/06/07 12:37:29.6069,5,938
8.708,2024/06/07 12:37:29.8529,5,938
8.955,2024/06/07 12:37:30.0999,5,938
9.02,2024/06/07 12:37:30.1649,3,742
9.202,2024/06/07 12:37:30.3469,5,938
9.447,2024/06/07 12:37:30.5919,5,938
9.694,2024/06/07 12:37:30.8389,5,938
9.759,2024/06/07 12:37:30.9039,3,1015
9.939,2024/06/07 12:37:31.0839,5,938
10.186,2024/06/07 12:37:31.3309,5,938
10.433,2024/06/07 12:37:31.5779,5,938
10.679,2024/06/07 12:37:31.8239,5,938
10.744,2024/06/07 12:37:31.8889,3,958
10.925,2024/06/07 12:37:32.0699,5,938
11.172,2024/06/07 12:37:32.3169,5,938
11.417,2024/06/07 12:37:32.5619,5,938
11.483,2024/06/07 12:37:32.6279,3,873
11.664,2024/06/07 12:37:32.8089,5,938
12.402,2024/06/07 12:37:33.5469,5,938
12.468,2024/06/07 12:37:33.6129,3,951
12.649,2024/06/07 12:37:33.7939,5,938
12.896,2024/06/07 12:37:34.0409,5,938
13.142,2024/06/07 12:37:34.2869,5,938
13.206,2024/06/07 12:37:34.3509,3,962
13.388,2024/06/07 12:37:34.5329,5,938
13.634,2024/06/07 12:37:34.7789,5,938
13.88,2024/06/07 12:37:35.0249,5,938
14.126,2024/06/07 12:37:35.2709,5,938
14.373,2024/06/07 12:37:35.5179,5,938
14.438,2024/06/07 12:37:35.5829,3,833
14.619,2024/06/07 12:37:35.7639,5,938
14.865,2024/06/07 12:37:36.0099,5,938
14.931,2024/06/07 12:37:36.0759,3,846
15.111,2024/06/07 12:37:36.2559,5,938
15.358,2024/06/07 12:37:36.5029,5,938
15.604,2024/06/07 12:37:36.7489,5,938
15.85,2024/06/07 12:37:36.9949,5,938
15.916,2024/06/07 12:37:37.0609,3,857
16.097,2024/06/07 12:37:37.2419,5,938
16.343,2024/06/07 12:37:37.4879,5,938
16.589,2024/06/07 12:37:37.7339,5,938
16.836,2024/06/07 12:37:37.9809,5,938
16.901,2024/06/07 12:37:38.0459,3,880
17.082,2024/06/07 12:37:38.2269,5,938
17.64,2024/06/07 12:37:38.7849,3,882
17.821,2024/06/07 12:37:38.9659,5,938
18.067,2024/06/07 12:37:39.2119,5,938
18.313,2024/06/07 12:37:39.4579,5,938
18.378,2024/06/07 12:37:39.5229,3,888
18.56,2024/06/07 12:37:39.7049,5,938
18.806,2024/06/07 12:37:39.9509,5,938
19.052,2024/06/07 12:37:40.1969,5,938
19.298,2024/06/07 12:37:40.4429,5,938
19.363,2024/06/07 12:37:40.5079,3,789
19.544,2024/06/07 12:37:40.6889,5,938
19.791,2024/06/07 12:37:40.9359,5,938
20.037,2024/06/07 12:37:41.1819,5,938
20.102,2024/06/07 12:37:41.2469,3,819
20.283,2024/06/07 12:37:41.4279,5,923
20.53,2024/06/07 12:37:41.6749,5,923
20.776,2024/06/07 12:37:41.9209,5,923
21.022,2024/06/07 12:37:42.1669,5,923
21.087,2024/06/07 12:37:42.2319,3,854
21.268,2024/06/07 12:37:42.4129,5,923
21.826,2024/06/07 12:37:42.9709,3,891
22.007,2024/06/07 12:37:43.1519,5,923
22.565,2024/06/07 12:37:43.7099,3,896
22.746,2024/06/07 12:37:43.8909,5,923
22.993,2024/06/07 12:37:44.1379,5,923
23.239,2024/06/07 12:37:44.3839,5,923
23.304,2024/06/07 12:37:44.4489,3,762
23.485,2024/06/07 12:37:44.6299,5,923
23.732,2024/06/07 12:37:44.8769,5,923
23.978,2024/06/07 12:37:45.1229,5,923
24.224,2024/06/07 12:37:45.3689,5,923
24.535,2024/06/07 12:37:45.6799,3,748
24.963,2024/06/07 12:37:46.1079,5,923
25.209,2024/06/07 12:37:46.3539,5,896
25.274,2024/06/07 12:37:46.4189,3,843
25.455,2024/06/07 12:37:46.5999,5,896
25.701,2024/06/07 12:37:46.8459,5,896
25.948,2024/06/07 12:37:47.0929,5,896
26.013,2024/06/07 12:37:47.1579,3,902
26.194,2024/06/07 12:37:47.3389,5,882
26.44,2024/06/07 12:37:47.5849,5,882
26.687,2024/06/07 12:37:47.8319,5,882
26.752,2024/06/07 12:37:47.8969,3,909
27.426,2024/06/07 12:37:48.5709,5,869
27.49,2024/06/07 12:37:48.6349,3,808
28.164,2024/06/07 12:37:49.3089,5,869
28.41,2024/06/07 12:37:49.5549,5,869
28.476,2024/06/07 12:37:49.6209,3,754
28.657,2024/06/07 12:37:49.8019,5,869
28.903,2024/06/07 12:37:50.0479,5,869
29.149,2024/06/07 12:37:50.2939,5,856
29.214,2024/06/07 12:37:50.3589,3,776
29.396,2024/06/07 12:37:50.5409,5,856
29.642,2024/06/07 12:37:50.7869,5,856
29.888,2024/06/07 12:37:51.0329,5,856
30.134,2024/06/07 12:37:51.2789,5,856
30.2,2024/06/07 12:37:51.3449,3,829
30.381,2024/06/07 12:37:51.5259,5,856
30.627,2024/06/07 12:37:51.7719,5,856
30.873,2024/06/07 12:37:52.0179,5,856
30.939,2024/06/07 12:37:52.0839,3,852
31.12,2024/06/07 12:37:52.2649,5,856
31.367,2024/06/07 12:37:52.5119,5,856
31.612,2024/06/07 12:37:52.7569,5,856
31.677,2024/06/07 12:37:52.8219,3,868
31.859,2024/06/07 12:37:53.0039,5,856
32.105,2024/06/07 12:37:53.2499,5,856
32.351,2024/06/07 12:37:53.4959,5,856
32.597,2024/06/07 12:37:53.7419,5,856
32.662,2024/06/07 12:37:53.8069,3,893
32.844,2024/06/07 12:37:53.9889,5,856
33.089,2024/06/07 12:37:54.2339,5,856
33.336,2024/06/07 12:37:54.4809,5,856
33.401,2024/06/07 12:37:54.5459,3,819
33.583,2024/06/07 12:37:54.7279,5,856
34.321,2024/06/07 12:37:55.4659,5,856
34.386,2024/06/07 12:37:55.5309,3,793
34.567,2024/06/07 12:37:55.7119,5,856
34.813,2024/06/07 12:37:55.9579,5,856
35.06,2024/06/07 12:37:56.2049,5,856
35.306,2024/06/07 12:37:56.4509,5,856
35.372,2024/06/07 12:37:56.5169,3,886
35.552,2024/06/07 12:37:56.6969,5,856
35.799,2024/06/07 12:37:56.9439,5,856
36.045,2024/06/07 12:37:57.1899,5,856
36.291,2024/06/07 12:37:57.4359,5,856
