reltime,datetime,iSensor,ibi
0.001,2024/06/05 10:01:42.2929,5,645
0.001,2024/06/05 10:01:42.2929,4,0
0.001,2024/06/05 10:01:42.2929,3,604
0.001,2024/06/05 10:01:42.2929,2,0
0.001,2024/06/05 10:01:42.2929,1,0
0.001,2024/06/05 10:01:42.2929,0,0
0.143,2024/06/05 10:01:42.4349,5,651
0.388,2024/06/05 10:01:42.6799,5,651
0.623,2024/06/05 10:01:42.9149,3,600
0.635,2024/06/05 10:01:42.9269,5,651
1.115,2024/06/05 10:01:43.4069,3,590
1.374,2024/06/05 10:01:43.6659,5,650
1.62,2024/06/05 10:01:43.9119,5,651
1.854,2024/06/05 10:01:44.1459,3,609
1.866,2024/06/05 10:01:44.1579,5,651
2.113,2024/06/05 10:01:44.4049,5,651
2.347,2024/06/05 10:01:44.6389,3,614
2.359,2024/06/05 10:01:44.6509,5,651
2.606,2024/06/05 10:01:44.8979,5,651
2.851,2024/06/05 10:01:45.1429,5,651
3.086,2024/06/05 10:01:45.3779,3,609
3.097,2024/06/05 10:01:45.3889,5,651
3.344,2024/06/05 10:01:45.6359,5,651
3.578,2024/06/05 10:01:45.8699,3,602
3.59,2024/06/05 10:01:45.8819,5,651
3.837,2024/06/05 10:01:46.1289,5,651
4.083,2024/06/05 10:01:46.3749,5,651
4.318,2024/06/05 10:01:46.6099,3,618
4.33,2024/06/05 10:01:46.6219,5,651
4.575,2024/06/05 10:01:46.8669,5,651
4.81,2024/06/05 10:01:47.1019,3,638
4.821,2024/06/05 10:01:47.1129,5,651
5.068,2024/06/05 10:01:47.3599,5,651
5.314,2024/06/05 10:01:47.6059,5,651
5.549,2024/06/05 10:01:47.8409,3,636
5.561,2024/06/05 10:01:47.8529,5,651
5.807,2024/06/05 10:01:48.0989,5,651
6.04,2024/06/05 10:01:48.3319,3,623
6.053,2024/06/05 10:01:48.3449,5,651
6.299,2024/06/05 10:01:48.5909,5,651
6.546,2024/06/05 10:01:48.8379,5,651
6.78,2024/06/05 10:01:49.0719,3,606
