reltime;datetime;iSensor;ibi

   0.0010;2024/06/13 12:49:21.0079;5;789
   0.0010;2024/06/13 12:49:21.0079;4;0
   0.0010;2024/06/13 12:49:21.0079;3;727
   0.0010;2024/06/13 12:49:21.0079;2;0
   0.0010;2024/06/13 12:49:21.0079;1;0
   0.0010;2024/06/13 12:49:21.0079;0;0
   0.3730;2024/06/13 12:49:21.3799;3;723
   0.4780;2024/06/13 12:49:21.4849;5;789
   1.1120;2024/06/13 12:49:22.1189;3;671
   1.2170;2024/06/13 12:49:22.2239;5;769
   1.6040;2024/06/13 12:49:22.6109;3;638
   1.9560;2024/06/13 12:49:22.9629;5;769
   2.2020;2024/06/13 12:49:23.2089;5;759
   2.3430;2024/06/13 12:49:23.3499;3;617
   2.4480;2024/06/13 12:49:23.4549;5;759
   2.6950;2024/06/13 12:49:23.7019;5;759
   2.9410;2024/06/13 12:49:23.9479;5;759
   3.0820;2024/06/13 12:49:24.0889;3;615
   3.1870;2024/06/13 12:49:24.1939;5;759
   3.3280;2024/06/13 12:49:24.3349;3;608
   3.4340;2024/06/13 12:49:24.4409;5;759
   3.6790;2024/06/13 12:49:24.6859;5;759
   3.9260;2024/06/13 12:49:24.9329;5;759
   4.0670;2024/06/13 12:49:25.0739;3;598
   4.1720;2024/06/13 12:49:25.1789;5;731
   4.4190;2024/06/13 12:49:25.4259;5;731
   4.5590;2024/06/13 12:49:25.5659;3;588
   4.6650;2024/06/13 12:49:25.6719;5;731
   4.9110;2024/06/13 12:49:25.9179;5;731
   5.1570;2024/06/13 12:49:26.1639;5;731
   5.2980;2024/06/13 12:49:26.3049;3;579
   5.4040;2024/06/13 12:49:26.4109;5;731
   5.6500;2024/06/13 12:49:26.6569;5;731
   5.7910;2024/06/13 12:49:26.7979;3;572
   5.8960;2024/06/13 12:49:26.9029;5;731
   6.1430;2024/06/13 12:49:27.1499;5;723
   6.3890;2024/06/13 12:49:27.3959;5;723
   6.5300;2024/06/13 12:49:27.5369;3;567
   6.6350;2024/06/13 12:49:27.6419;5;723
   6.8820;2024/06/13 12:49:27.8889;5;723
   7.1270;2024/06/13 12:49:28.1339;5;723
   7.2680;2024/06/13 12:49:28.2749;3;611
   7.3740;2024/06/13 12:49:28.3809;5;723
   7.6200;2024/06/13 12:49:28.6269;5;723
   8.0070;2024/06/13 12:49:29.0139;3;767
   8.3590;2024/06/13 12:49:29.3659;5;714
   8.6050;2024/06/13 12:49:29.6119;5;714
   8.7460;2024/06/13 12:49:29.7529;3;790
   8.8510;2024/06/13 12:49:29.8579;5;714
   9.0970;2024/06/13 12:49:30.1039;5;714
   9.2380;2024/06/13 12:49:30.2449;3;660
   9.3440;2024/06/13 12:49:30.3509;5;714
   9.5910;2024/06/13 12:49:30.5979;5;714
   9.8370;2024/06/13 12:49:30.8439;5;714
  10.0830;2024/06/13 12:49:31.0899;5;714
  10.2240;2024/06/13 12:49:31.2309;3;640
  10.3290;2024/06/13 12:49:31.3359;5;714
  10.5750;2024/06/13 12:49:31.5819;5;714
  10.8220;2024/06/13 12:49:31.8289;5;714
  10.9630;2024/06/13 12:49:31.9699;3;699
  11.0680;2024/06/13 12:49:32.0749;5;714
  11.3150;2024/06/13 12:49:32.3219;5;714
  11.7010;2024/06/13 12:49:32.7079;3;773
  12.0530;2024/06/13 12:49:33.0599;5;714
  12.2990;2024/06/13 12:49:33.3059;5;714
  12.4400;2024/06/13 12:49:33.4469;3;789
  12.5450;2024/06/13 12:49:33.5519;5;714
  12.7920;2024/06/13 12:49:33.7989;5;714
  13.0380;2024/06/13 12:49:34.0449;5;697
  13.1790;2024/06/13 12:49:34.1859;3;791
  13.2850;2024/06/13 12:49:34.2919;5;697
  13.5310;2024/06/13 12:49:34.5379;5;697
  13.7770;2024/06/13 12:49:34.7839;5;697
  14.0230;2024/06/13 12:49:35.0299;5;697
  14.1640;2024/06/13 12:49:35.1709;3;797
  14.2690;2024/06/13 12:49:35.2759;5;697
  14.5160;2024/06/13 12:49:35.5229;5;697
  14.7620;2024/06/13 12:49:35.7689;5;697
  14.9020;2024/06/13 12:49:35.9089;3;810
  15.0080;2024/06/13 12:49:36.0149;5;697
  15.6410;2024/06/13 12:49:36.6479;3;808
  15.7470;2024/06/13 12:49:36.7539;5;697
  15.9940;2024/06/13 12:49:37.0009;5;697
  16.2400;2024/06/13 12:49:37.2469;5;705
  16.4860;2024/06/13 12:49:37.4929;5;705
  16.6270;2024/06/13 12:49:37.6339;3;815
  17.6110;2024/06/13 12:49:38.6179;3;824
